m001,83.62500,22.01700,6.00
m002,323.37000,-0.82300,12.75
m003,205.54500,28.37700,12.90
m004,245.89500,-26.52600,13.05
m005,229.65000,2.08300,13.20
m006,265.02000,-32.21700,34.75
m007,268.47000,-34.79300,35.88
m008,270.90000,-24.38700,90.00
m009,259.80000,-18.51600,11.80
m010,254.29500,-4.10000,12.80
m011,282.76500,-6.27100,14.00
m012,251.80500,-1.94900,12.15
m013,250.42500,36.46000,20.00
m014,264.39000,-3.24600,11.85
m015,322.50000,12.16700,12.90
m016,274.69500,-13.78300,35.00
m017,275.19000,-16.17200,46.00
m018,274.99500,-17.10000,30.63
m019,255.64500,-26.26800,12.25
m020,270.67500,-23.03000,28.00
m021,271.14000,-22.50000,31.88
m022,279.10500,-23.90400,24.00
m023,269.23500,-18.98600,31.38
m024,274.20000,-18.55000,82.20
m025,277.93500,-19.25000,34.25
m026,281.32500,-9.40000,30.00
m027,299.91000,22.72100,8.00
m028,276.13500,-24.87000,12.60
m029,305.98500,38.52300,31.13
m030,325.09500,-23.18000,12.40
m031,10.68000,41.26900,178.00
m032,10.68000,40.86500,9.56
m033,23.46000,30.66000,70.00
m034,40.53000,42.78300,33.12
m035,92.22000,24.33300,33.62
m036,84.07500,34.13500,32.50
m037,88.09500,32.55000,33.00
m038,82.17000,35.85500,32.00
m039,322.95000,48.43300,34.25
m040,185.55000,58.08300,35.40
m041,101.50500,-20.73300,34.38
m042,83.82000,-5.39100,85.00
m043,83.89500,-5.26700,23.00
m044,130.05000,19.98300,95.00
m045,56.85000,24.11700,110.00
m046,115.44000,-14.81000,32.38
m047,114.15000,-14.50000,34.50
m048,123.43500,-5.80000,32.75
m049,187.45500,8.00000,9.44
m050,105.79500,-8.33700,32.62
m051,202.47000,47.19500,11.00
m052,351.19500,61.59300,31.38
m053,198.22500,18.16900,12.20
m054,283.75500,-30.47800,12.20
m055,295.00500,-30.96400,12.85
m056,289.14000,30.18300,11.85
m057,283.39500,33.02900,1.40
m058,189.43500,11.81800,8.92
m059,190.50000,11.64700,8.96
m060,190.92000,11.55200,9.28
m061,185.47500,4.47400,8.92
m062,255.31500,-30.11400,12.75
m063,198.96000,42.02900,10.00
m064,194.17500,21.68300,10.00
m065,169.72500,13.09200,8.00
m066,170.05500,12.99100,9.00
m067,132.82500,11.80000,32.38
m068,189.87000,-26.74400,12.10
m069,277.84500,-32.34800,12.20
m070,280.80000,-32.29200,12.05
m071,298.44000,18.77900,11.90
m072,313.36500,-12.53700,11.35
m073,314.74500,-12.63300,34.50
m074,24.16500,15.78300,10.00
m075,301.51500,-21.92200,11.75
m076,25.57500,51.57500,1.64
m077,40.68000,-0.01300,9.24
m078,86.68500,0.07900,8.00
m079,81.03000,-24.52400,12.15
m080,244.26000,-22.97600,12.35
m081,148.89000,69.06500,27.00
m082,148.96500,69.68000,11.00
m083,204.25500,-29.86600,13.00
m084,186.27000,12.88700,9.16
m085,186.36000,18.19100,9.16
m086,186.55500,12.94600,9.24
m087,187.71000,12.39100,7.00
m088,187.99500,14.42000,8.96
m089,188.91000,12.55600,8.88
m090,189.21000,13.16300,9.00
m091,188.85000,14.49600,8.72
m092,259.27500,43.13600,14.00
m093,116.13000,-23.85300,32.50
m094,192.73500,41.12000,9.52
m095,160.98000,11.70400,8.92
m096,161.68500,11.82000,9.12
m097,168.69000,55.01900,3.40
m098,183.45000,14.90000,8.76
m099,184.71000,14.41700,8.84
m100,185.73000,15.82200,9.08
m101,210.79500,54.34900,29.00
m102,226.62000,55.76300,8.84
m103,23.34000,60.65800,30.75
m104,190.00500,-11.62300,9.00
m105,161.95500,12.58200,9.08
m106,184.74000,47.30400,19.00
m107,248.13000,-13.05400,12.05
m108,167.86500,55.67400,8.00
m109,179.40000,53.37500,8.00
m110,10.09500,41.68500,22.00
c001,10.99950,85.25500,29.88
c002,3.31650,72.52110,1.53
c003,289.06200,69.67970,8.84
c004,315.26700,68.16310,25.20
c005,56.69550,68.09610,9.12
c006,269.62800,66.63310,1.79
c007,114.55050,65.60190,9.24
c008,29.65050,63.30000,28.12
c009,344.36700,62.61670,24.30
c010,27.04950,61.23330,32.00
c011,350.17950,61.20000,22.00
c012,308.73300,60.15390,8.96
c013,19.92450,58.28330,32.00
c014,34.99950,57.13670,60.00
c015,296.16600,50.52530,1.74
c016,333.70050,49.89170,32.00
c017,8.24550,48.50810,9.12
c018,8.43300,48.33720,8.76
c019,328.31700,47.26670,24.80
c020,314.62500,44.33330,60.00
c021,186.70800,43.96830,8.88
c022,351.40800,42.54610,1.76
c023,35.55900,42.34920,8.84
c024,49.97850,41.51170,8.16
c025,114.94950,38.87220,10.80
c026,184.18350,37.44360,8.64
c027,303.00450,38.35500,24.60
c028,29.65050,37.68330,31.38
c029,197.41200,37.03310,8.20
c030,349.66650,33.96860,8.44
c031,78.97500,34.26670,26.00
c032,189.97500,32.55860,8.88
c033,314.05050,31.71670,70.00
c034,311.40000,30.71670,60.00
c035,194.73300,28.25440,8.24
c036,188.85900,27.95970,8.76
c037,302.72550,26.48330,31.38
c038,189.16200,25.99080,8.96
c039,112.34100,20.91170,1.71
c040,170.03700,18.35470,8.24
c041,66.75000,15.86670,330.00
c042,315.17550,16.18390,11.55
c043,345.76650,14.44060,8.72
c044,345.60000,12.32310,8.64
c045,228.81600,5.33500,8.80
c046,99.81600,8.73330,23.00
c047,308.01600,7.40440,11.55
c048,123.10800,21.49330,8.68
c049,98.08350,4.95000,80.00
c050,97.99950,4.93330,34.00
c051,5.03700,-0.02440,8.88
c052,190.02450,-0.02250,9.00
c053,151.46250,-7.72000,9.16
c054,120.00000,-10.78330,30.50
